Player Name,Nation,Club,Current Value,Status,Source,Notes
Eloy Room,Curaçao,Miami FC,27,verified,TRANSFERMARKT; CUR-SQ; WIKIPEDIA,"Verified clean sheets value present, but row is still blocked by another rule."
Matěj Kovář,Czech Republic,PSV Eindhoven,6,verified,FIFA-SQUAD; CZECH-PROFILE; WIKIPEDIA,"Verified clean sheets value present, but row is still blocked by another rule."
Lionel Mpasi,DR Congo,Le Havre,12,verified,S-WC-SQUADS; WIKIPEDIA; TRANSFERMARKT,"Verified clean sheets value present, but row is still blocked by another rule."
Hernán Galíndez,Ecuador,Huracán,16,verified,TRANSFERMARKT; ECU-SQ; WIKIPEDIA,"Verified clean sheets value present, but row is still blocked by another rule."
Mohamed El Shenawy,Egypt,Al Ahly,39,verified,EGY-EFA; WIKIPEDIA; TRANSFERMARKT,"Verified clean sheets value present, but row is still blocked by another rule."
Mostafa Shobeir,Egypt,Al Ahly,5,verified,EGY-EFA; WIKIPEDIA,"Verified clean sheets value present, but row is still blocked by another rule."
Dean Henderson,England,Crystal Palace FC,3,verified,FIFA-PDF; https://en.wikipedia.org/wiki/Dean_Henderson,Verified clean sheets value present.
James Trafford,England,Manchester City FC,1,verified,FIFA-PDF; https://en.wikipedia.org/wiki/James_Trafford,Verified clean sheets value present.
Jordan Pickford,England,Everton FC,43,verified,ENG-PROFILE,Verified clean sheets value present.
Brice Samba,France,Stade Rennais FC,1,verified,FIFA-PDF; https://en.wikipedia.org/wiki/Brice_Samba,Verified clean sheets value present.
Mike Maignan,France,AC Milan,18,verified,FRANCE-SQUAD; CLUB-PROFILE; WIKIPEDIA,Verified clean sheets value present.
Robin Risser,France,RC Lens,0,verified,FIFA-PDF; https://en.wikipedia.org/wiki/Robin_Risser,Verified clean sheets value present.
Alexander Nuebel,Germany,VfB Stuttgart,3,verified,FIFA-PDF; Wikipedia; Transfermarkt profile,Verified clean sheets value present.
Manuel Neuer,Germany,Bayern Munich,50,verified,TRANSFERMARKT; GER-SQ; WIKIPEDIA,Verified clean sheets value present.
Oliver Baumann,Germany,TSG Hoffenheim,7,verified,FIFA-PDF; https://en.wikipedia.org/wiki/Oliver_Baumann,Verified clean sheets value present.
Lawrence Ati-Zigi,Ghana,St. Gallen,7,verified,S-WC-SQUADS; WIKIPEDIA; TRANSFERMARKT,"Verified clean sheets value present, but row is still blocked by another rule."
Johny Placide,Haiti,Bastia,25,verified,FFT-SQUAD; WIKIPEDIA; DEBUT-YEAR-ONLY,"Verified clean sheets value present, but row is still blocked by another rule."
Alireza Beiranvand,Iran,Tractor,44,verified,IRN-FFIRI; WIKIPEDIA; TRANSFERMARKT,"Verified clean sheets value present, but row is still blocked by another rule."
Jalal Hassan,Iraq,Al-Zawraa,40,verified,IRQ-FINAL; WIKIPEDIA; TRANSFERMARKT,"Verified clean sheets value present, but row is still blocked by another rule."
Yahia Fofana,Ivory Coast,Çaykur Rizespor,18,verified,TRANSFERMARKT; CIV-SQ; WIKIPEDIA,"Verified clean sheets value present, but row is still blocked by another rule."
Yazeed Abulaila,Jordan,Al-Hussein,26,verified,FIFA-SQUAD; JORDAN-PROFILE; CLUB-PROFILE; WIKIPEDIA,"Verified clean sheets value present, but row is still blocked by another rule."
Guillermo Ochoa,Mexico,AEL Limassol,63,verified,FIFA-SQUAD; MEXICO-PROFILE; WIKIPEDIA; DEBUT-YEAR-ONLY,"Verified clean sheets value present, but row is still blocked by another rule."
Bart Verbruggen,Netherlands,Brighton & Hove Albion,11,verified,TRANSFERMARKT; NED-SQ; WIKIPEDIA,"Verified clean sheets value present, but row is still blocked by another rule."
Max Crocombe,New Zealand,Millwall,8,verified,NZL-NZF; WIKIPEDIA; TRANSFERMARKT,"Verified clean sheets value present, but row is still blocked by another rule."
Luis Mejía,Panama,Nacional,19,verified,S-WC-SQUADS; WIKIPEDIA; TRANSFERMARKT,"Verified clean sheets value present, but row is still blocked by another rule."
Diogo Costa,Portugal,Porto,17,verified,PORTUGAL-GUIDE; CLUB-PROFILE; WIKIPEDIA; DEBUT-YEAR-ONLY,Verified clean sheets value present.
Jose Sa,Portugal,Wolverhampton Wanderers FC,2,verified,FIFA-PDF; https://en.wikipedia.org/wiki/José_Sá,Verified clean sheets value present.
Meshaal Barsham,Qatar,Al Sadd,13,verified,FIFA-SQUAD; QATAR-PROFILE; WIKIPEDIA; DEBUT-YEAR-ONLY,"Verified clean sheets value present, but row is still blocked by another rule."
Mohammed Al-Owais,Saudi Arabia,Al-Ula,24,verified,KSA-SAFF; WIKIPEDIA; TRANSFERMARKT,"Verified clean sheets value present, but row is still blocked by another rule."
Angus Gunn,Scotland,Nottingham Forest FC,8,verified,FIFA-PDF; https://en.wikipedia.org/wiki/Angus_Gunn,Verified clean sheets value present.
Craig Gordon,Scotland,Heart Of Midlothian FC,34,verified,FIFA-PDF; https://en.wikipedia.org/wiki/Craig_Gordon,Verified clean sheets value present.
Liam Kelly,Scotland,Rangers FC,0,verified,"FIFA-PDF; https://en.wikipedia.org/wiki/Liam_Kelly_(footballer,_born_1990)",Verified clean sheets value present.
Édouard Mendy,Senegal,Al-Ahli,31,verified,FIFA-SQUAD; SENEGAL-PROFILE; CLUB-PROFILE; WIKIPEDIA,Verified clean sheets value present.
Ronwen Williams,South Africa,Mamelodi Sundowns,19,verified,FIFA-SQUAD; SOUTH-AFRICA-PROFILE; WIKIPEDIA,"Verified clean sheets value present, but row is still blocked by another rule."
David Raya,Spain,Arsenal FC,6,verified,FIFA-PDF; https://en.wikipedia.org/wiki/David_Raya,Verified clean sheets value present.
Joan Garcia,Spain,FC Barcelona,1,verified,FIFA-PDF; https://en.wikipedia.org/wiki/Joan_Garcia,Verified clean sheets value present.
Unai Simon,Spain,Athletic Club,24,verified,FIFA-PDF; https://en.wikipedia.org/wiki/Unai_Simón,Verified clean sheets value present.
Gregor Kobel,Switzerland,Borussia Dortmund,5,verified,FIFA-SQUAD; SWITZERLAND-PROFILE; WIKIPEDIA; DEBUT-YEAR-ONLY,"Verified clean sheets value present, but row is still blocked by another rule."
Chris Brady,United States,Chicago Fire FC,0,verified,FIFA-PDF; https://en.wikipedia.org/wiki/Chris_Brady_(soccer),Verified clean sheets value present.
Matt Freese,United States,New York City FC,3,verified,FIFA-PDF; https://en.wikipedia.org/wiki/Matt_Freese,Verified clean sheets value present.
Matt Turner,United States,New England Revolution,27,verified,FIFA-PDF; https://en.wikipedia.org/wiki/Matt_Turner_(soccer),Verified clean sheets value present.
