Nation,Player Name,Reason
Germany,Nadiem Amiri,contains [Verify]: playedAlongside
Germany,Alexander Nuebel,contains [Verify]: internationalDebut; contains [Verify]: caps; contains [Verify]: internationalGoals; contains [Verify]: careerPath; contains [Verify]: clueFact; contains [Verify]: playedAlongside; contains [Verify]: sources
Germany,David Raum,contains [Verify]: clueFact
Germany,Felix Nmecha,contains [Verify]: clueFact
Germany,Assan Ouedraogo,contains [Verify]: clueFact
Germany,Deniz Undav,contains [Verify]: clueFact; contains [Verify]: playedAlongside
Portugal,Joao Felix,contains [Verify]: playedAlongside
Portugal,Renato Veiga,contains [Verify]: playedAlongside
Portugal,Goncalo Inacio,contains [Verify]: internationalDebut; contains [Verify]: caps; contains [Verify]: internationalGoals; contains [Verify]: careerPath; contains [Verify]: playedAlongside
Portugal,Francisco Trincao,contains [Verify]: internationalDebut; contains [Verify]: caps; contains [Verify]: internationalGoals; contains [Verify]: careerPath; contains [Verify]: playedAlongside
Portugal,Rafael Leao,contains [Verify]: playedAlongside
Portugal,Pedro Neto,contains [Verify]: internationalDebut; contains [Verify]: caps; contains [Verify]: internationalGoals; contains [Verify]: careerPath
Portugal,Goncalo Guedes,contains [Verify]: playedAlongside
Portugal,Ruben Neves,contains [Verify]: playedAlongside
Portugal,Samuel Samu Costa,contains [Verify]: clueFact; contains [Verify]: playedAlongside
France,Brice Samba,contains [Verify]: playedAlongside
France,Manu Kone,contains [Verify]: clueFact; contains [Verify]: playedAlongside
France,Ngolo Kante,contains [Verify]: internationalDebut; contains [Verify]: caps; contains [Verify]: internationalGoals; contains [Verify]: careerPath; contains [Verify]: clueFact; contains [Verify]: sources
France,Adrien Rabiot,contains [Verify]: playedAlongside
France,Jean Mateta,contains [Verify]: internationalDebut; contains [Verify]: caps; contains [Verify]: internationalGoals; contains [Verify]: careerPath; contains [Verify]: clueFact; contains [Verify]: sources
France,Robin Risser,contains [Verify]: clueFact; contains [Verify]: playedAlongside
France,Rayan Cherki,contains [Verify]: clueFact
France,Maghnes Akliouche,contains [Verify]: clueFact; contains [Verify]: playedAlongside
Argentina,Juan Musso,contains [Verify]: clueFact
Argentina,Leonardo Balerdi,contains [Verify]: clueFact
Argentina,Nicolas Tagliafico,contains [Verify]: clueFact
Argentina,Gonzalo Montiel,contains [Verify]: playedAlongside
Argentina,Leandro Paredes,contains [Verify]: clueFact; contains [Verify]: playedAlongside
Argentina,Valentin Barco,contains [Verify]: clueFact; contains [Verify]: playedAlongside
Argentina,Giovani Lo Celso,contains [Verify]: clueFact
Argentina,Exequiel Palacios,contains [Verify]: clueFact
Argentina,Giuliano Simeone,contains [Verify]: clueFact
Argentina,Nico Paz,contains [Verify]: playedAlongside
Argentina,Nicolas Otamendi,contains [Verify]: playedAlongside
Argentina,Facundo Medina,contains [Verify]: clueFact
Argentina,Nahuel Molina,contains [Verify]: clueFact
Brazil,Alex Sandro,contains [Verify]: playedAlongside
Brazil,Weverton,contains [Verify]: clueFact; contains [Verify]: playedAlongside
Brazil,Danilo,contains [Verify]: playedAlongside
Brazil,Bremer,contains [Verify]: clueFact
Brazil,Leo Pereira,contains [Verify]: clueFact; contains [Verify]: playedAlongside
Brazil,Fabinho,contains [Verify]: playedAlongside
Brazil,Lucas Paqueta,contains [Verify]: playedAlongside
Brazil,Luiz Henrique,contains [Verify]: internationalDebut; contains [Verify]: caps; contains [Verify]: internationalGoals; contains [Verify]: playedAlongside
Brazil,Ederson,contains [Verify]: internationalDebut; contains [Verify]: caps; contains [Verify]: internationalGoals; contains [Verify]: careerPath
Brazil,Roger Ibanez,contains [Verify]: playedAlongside
Brazil,Igor Thiago,contains [Verify]: clueFact
Scotland,Grant Hanley,contains [Verify]: playedAlongside
Scotland,Lyndon Dykes,contains [Verify]: playedAlongside
Scotland,Ryan Christie,contains [Verify]: playedAlongside
Scotland,Jack Hendry,contains [Verify]: playedAlongside
Scotland,Ross Stewart,contains [Verify]: playedAlongside
Scotland,Dominic Hyam,contains [Verify]: playedAlongside
Scotland,George Hirst,contains [Verify]: playedAlongside
Scotland,Lewis Ferguson,contains [Verify]: playedAlongside
Scotland,Lawrence Shankland,contains [Verify]: playedAlongside
Scotland,Craig Gordon,contains [Verify]: playedAlongside
Scotland,Nathan Patterson,contains [Verify]: clueFact
Scotland,Kenny McLean,contains [Verify]: playedAlongside
Scotland,Anthony Ralston,contains [Verify]: clueFact
Scotland,Findlay Curtis,contains [Verify]: clueFact; contains [Verify]: playedAlongside
Scotland,Scott McKenna,contains [Verify]: clueFact; contains [Verify]: playedAlongside
Canada,Ale Jones,contains [Verify]: internationalDebut; contains [Verify]: caps; contains [Verify]: internationalGoals; contains [Verify]: careerPath; contains [Verify]: clueFact; contains [Verify]: playedAlongside; contains [Verify]: sources
Canada,Luc De Fougerolles,contains [Verify]: playedAlongside
Canada,Joel Waterman,contains [Verify]: clueFact; contains [Verify]: playedAlongside
Canada,Mathieu Choiniere,contains [Verify]: clueFact
Canada,Ismael Kone,contains [Verify]: playedAlongside
Canada,Liam Millar,contains [Verify]: playedAlongside
Canada,Tani Oluwaseyi,contains [Verify]: playedAlongside
Canada,Derek Cornelius,contains [Verify]: clueFact
Canada,Jacob Shaffelburg,contains [Verify]: clueFact
Canada,Moise Bombito,contains [Verify]: clueFact; contains [Verify]: playedAlongside
Canada,Maxime Crepeau,contains [Verify]: playedAlongside
Canada,Owen Goodman,contains [Verify]: playedAlongside
Canada,Ali Ahmed,contains [Verify]: clueFact; contains [Verify]: playedAlongside
Canada,Jonathan Osorio,contains [Verify]: playedAlongside
Canada,Richie Laryea,contains [Verify]: clueFact; contains [Verify]: playedAlongside
Canada,Niko Sigur,contains [Verify]: clueFact; contains [Verify]: playedAlongside
Canada,Nathan Saliba,contains [Verify]: playedAlongside
Canada,Marcelo Flores,contains [Verify]: clueFact; contains [Verify]: playedAlongside
United States,Matt Turner,contains [Verify]: playedAlongside
United States,Chris Richards,contains [Verify]: clueFact
United States,Brenden Aaronson,contains [Verify]: clueFact; contains [Verify]: playedAlongside
United States,Tim Ream,contains [Verify]: clueFact; contains [Verify]: playedAlongside
United States,Sebastian Berhalter,contains [Verify]: clueFact; contains [Verify]: playedAlongside
United States,Cristian Roldan,contains [Verify]: playedAlongside
United States,Alex Freeman,contains [Verify]: playedAlongside
United States,Max Arfsten,contains [Verify]: clueFact; contains [Verify]: playedAlongside
United States,Haji Wright,contains [Verify]: playedAlongside
United States,Mark McKenzie,contains [Verify]: clueFact; contains [Verify]: playedAlongside
United States,Joe Scally,contains [Verify]: clueFact; contains [Verify]: playedAlongside
United States,Matt Freese,contains [Verify]: clueFact; contains [Verify]: playedAlongside
United States,Chris Brady,contains [Verify]: clueFact; contains [Verify]: playedAlongside
United States,Alex Zendejas,contains [Verify]: internationalDebut; contains [Verify]: caps; contains [Verify]: internationalGoals; contains [Verify]: careerPath; contains [Verify]: clueFact; contains [Verify]: playedAlongside; contains [Verify]: sources
